ID,X,Y,Z,E
1001,-18.2116,11.3473,18.6,3.75516
1001,4.5249,16.4023,18.6,3.48182
1001,-8.08575,4.58031,18.6,3.47317
1001,-21.263,-21.1457,18.6,9.50025
1001,14.7357,-13.8124,18.6,1.22536
1001,6.35555,6.10824,18.6,3.78013
1001,-21.4963,16.3897,18.6,6.4736
1001,-10.398,-17.8646,18.6,4.26099
1001,-9.02215,-15.5464,18.6,3.3621
1001,6.19599,1.77633,18.6,3.99123
1001,8.80367,-3.05987,18.6,3.79776
1001,0.242436,-21.3084,18.6,4.0025
1001,9.59242,1.0024,18.6,3.3677
1001,-9.47352,-7.98126,18.6,3.90529
1001,20.5166,-1.06575,18.6,10.6227
1001,-4.92785,-7.17993,18.6,3.88637
1001,22.3088,-21.2546,18.6,3.40235
1001,3.38357,-3.54648,18.6,2.67241
1001,15.7105,5.88329,18.6,7.32974
1001,18.2853,10.3344,18.6,4.34148
1001,-9.86851,-11.2587,18.6,3.18584
1001,15.4786,-11.073,18.6,4.4404
1001,3.12458,-19.2311,18.6,3.98238
1001,22.0039,-17.7204,18.6,3.89205
1001,1.48754,-10.2819,18.6,3.51223
1001,9.20913,-0.949694,18.6,3.90725
1001,23.2382,-19.8215,18.6,4.57819
1001,3.34391,20.7572,18.6,3.91767
1001,-18.2761,-7.39669,18.6,3.45094
1001,11.5944,9.79605,18.6,3.67014
1001,20.8111,-12.4231,18.6,3.63548
1001,13.8989,-23.1168,18.6,3.76966
1001,-10.8323,-18.8668,18.6,3.8311
1001,-12.0781,-7.66518,18.6,3.94098
1001,2.01387,-11.1757,18.6,3.62992
1001,-22.0245,-8.93378,18.6,3.54463
1001,-14.7018,-6.43527,18.6,3.71675
1001,-1.05142,-0.419901,18.6,3.96922
1001,-9.12091,15.0358,18.6,4.3627
1001,20.0921,-0.458567,18.6,4.03081
1001,-6.30899,21.3367,18.6,4.10137
1001,-0.881691,-6.05378,18.6,3.45796
1001,-5.59766,2.16721,18.6,3.90861
1001,-21.7122,-7.65005,18.6,3.23389
1001,-6.54314,9.31287,18.6,2.14971
1001,-0.511254,-3.29426,18.6,4.04207
1001,-22.098,-21.0479,18.6,4.0924
1001,15.4838,-3.16025,18.6,4.01995
1001,8.51489,17.5693,18.6,4.01611
1001,7.41811,5.8237,18.6,3.62749
1001,0.309997,1.63245,18.6,4.018
1001,5.01723,-23.0811,18.6,8.89109
1001,18.3648,-19.0437,18.6,3.95305
1001,-0.804196,7.58387,18.6,3.42058
1001,-0.0802217,-19.3369,18.6,3.6694
1001,13.1075,7.7159,18.6,1.76411
1001,13.2429,-19.2987,18.6,4.11683
1001,5.0706,-19.7367,18.6,7.65331
1001,21.8209,-22.5953,18.6,4.20098
1001,10.8992,-1.43729,18.6,3.34483
1001,-17.8445,-1.35278,18.6,4.08199
1001,17.2277,16.4062,18.6,3.47755
1001,-2.63349,-23.5834,18.6,3.9207
1001,23.0743,5.01633,18.6,3.8504
1001,10.1868,5.40528,18.6,3.98778
1001,-0.794843,15.3028,18.6,10.2441
1001,0.911673,3.26496,18.6,3.98764
1001,7.79463,-11.0458,18.6,4.10252
1001,-17.3861,20.5787,18.6,3.91878
1001,-3.72275,-4.97853,18.6,9.73105
1001,1.91125,16.6913,18.6,3.72445
